Package Name,Benign Domains,Benign IPs,Benign Traffic,Ad Domains,Ad IPs,Ad Traffic,Tracking Domains,Tracking IPs,Tracking Traffic,Suspected Benign IPs,Suspected Benign Traffic,Suspected Ad Domains,Suspected Ad IPs,Suspected Ad Traffic,Suspected Tracking Domains,Suspected Tracking IPs,Suspected Tracking Traffic
com.playgendary.tom.apk,,0,0,,0,0,,0,0,21,8510948,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,ads.tapdaq.com,track.tenjin.io",3,344657,,0,0
com.snow.drift.apk,,0,0,,0,0,,0,0,44,16624667,"ecommerce.iap.unity3d.com,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,cdn.revcontent.com,cdn.2xbpub.com,publishers.revcontent.com,cdn.dlyads.com,cdn.iasrv.com,cdn.trkclk.net,cdn.adk2.com,srv.gotagy.com,servedby.flashtalking.com,ads.crakmedia.com,labs-cdn.revcontent.com,cdn.ad-maven.com,static.hoptopboy.com,carrefour.adform.net,media.salemwebnetwork.com,cds.i3t2g3k8.hwcdn.net,cdn.adsrvmedia.net,creatives.adbetclickin.pink,api-us.gameanalytics.com,voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com,supersonic.ironbeast.io,sdk.ironbeast.io,lb.ironbeast.io,api-eu.gameanalytics.com,secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com,cdn.springserve.com,pod.xpress.com,promo.badoink.com,pod.manplay.com,analyticsnew.overwolf.com,pod.xxxconnect.com,cdn.bttrack.com,errors.snackly.co,viamichelin.cdn-a2.contentabc.com,cdn.badoink.com,c2.campartner.com,static.ifa.camads.net,cdn.nsimg.net,counter.tldw.me,impact.applifier.com,httpkafka.unityads.unity3d.com,192.168.ss.xxxmyself.com,m.sancdn.net,logger.snackly.co,192.168.cdn-a2.contentabc.com,cds.g8j8b9g6.hwcdn.net,cdn-highwinds.unityads.unity3d.com,cdn.mbp91.com,mdn1.phluantmobile.net,viamichelin.ss.xxxmyself.com,analytics.mopub.com,adserver.mopub.com,api.gameanalytics.com,click-haproxy.supersonicads.com,mpx-dashboard.mopub.com,app.mopub.com",16,12038966,cds.s5x3j6q5.hwcdn.net,1,915
com.circleball.hoppingball.apk,,0,0,,0,0,,0,0,16,76314,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,config.uca.cloud.unity3d.com,plbslog.umeng.com,sec.umeng.com,u-time.umeng.com,static.umeng.com,pad.umeng.com,dip.umeng.com,www.umeng.com,mobile.umeng.com,i.umeng.com,iplua.o.xoxknct.com",4,191040,cds.s5x3j6q5.hwcdn.net,1,361
com.kiloo.subwaysurf.apk,hoodrunner.kiloo.com,1,1945,,0,0,,0,0,7,23118,"config.safedk.com,form-cdn.pardot.com,asset.pagefair.net",1,193,,0,0
com.playrix.homescapes.apk,,0,0,,0,0,,0,0,28,24220912,"p2.chartboost.com,p.chartboost.com,a.chartboost.com,v.chartboost.com,t.chartboost.com,a2.chartboost.com,192.168.ss.xxxmyself.com,m.sancdn.net,counter.tldw.me,logger.snackly.co,192.168.cdn-a2.contentabc.com,cds.g8j8b9g6.hwcdn.net,cdn-highwinds.unityads.unity3d.com,cdn.mbp91.com,mdn1.phluantmobile.net,viamichelin.ss.xxxmyself.com,cdn.bttrack.com,errors.snackly.co,drippler.helpshift.com",3,1383814,cds.s5x3j6q5.hwcdn.net,1,91113
,,,,,,,,,,,,,,,,,
GAMES,,,,,,,,,,,,,,,,,
Overall Benign Ips,Games,,,,,,Overall Ad Ips,Games,,,,Overall Tracking Ips,Games,,,,
13,144167,,,,,,0,0,,,,0,0,,,,
67,51743879,,,,,,4,515933,,,,1,82314,,,,
24,5361573,,,,,,1,1542,,,,1,1542,,,,
3,1540,,,,,,1,486,,,,0,0,,,,
26,3534760,,,,,,2,233692,,,,0,0,,,,
61,20610208,,,,,,11,2121723,,,,2,97791,,,,
25,22217202,,,,,,3,149545,,,,0,0,,,,
52,59297599,,,,,,12,2441233,,,,2,148476,,,,
47,26797068,,,,,,4,4390365,,,,1,795,,,,
27,128362304,,,,,,0,0,,,,1,96561,,,,
76,23756004,,,,,,15,3283181,,,,4,122832,,,,
17,316735,,,,,,1,3392,,,,0,0,,,,
19,509492,,,,,,1,3837,,,,0,0,,,,
36,2683027,,,,,,8,1476815,,,,2,730851,,,,
29,10098469,,,,,,5,4383814,,,,2,22240,,,,
107,23527480,,,,,,20,2819790,,,,7,435057,,,,
47,4192401,,,,,,12,1905572,,,,3,105163,,,,
