Destination,Service,Src IP,Dst IP,Frame Size
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,648
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1266
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,322
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1266
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,104.193.88.123,192.168.2.3,1514
104.193.88.123,benign,104.193.88.123,192.168.2.3,320
104.193.88.123,benign,104.193.88.123,192.168.2.3,68
104.193.88.123,benign,104.193.88.123,192.168.2.3,1253
104.193.88.123,benign,104.193.88.123,192.168.2.3,81
104.193.88.123,benign,104.193.88.123,192.168.2.3,71
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
104.193.88.123,benign,192.168.2.3,104.193.88.123,66
58.215.98.35,benign,58.215.98.35,192.168.2.3,66
58.215.98.35,benign,192.168.2.3,58.215.98.35,54
58.215.98.35,benign,192.168.2.3,58.215.98.35,668
plgundr.com,ads,8.8.8.8,192.168.2.3,151
monitor.applift.com,ads,8.8.8.8,192.168.2.3,151
monitor.applift.com,tracking,8.8.8.8,192.168.2.3,151
104.193.88.102,benign,192.168.2.3,104.193.88.102,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,74
58.215.98.35,benign,58.215.98.35,192.168.2.3,66
58.215.98.35,benign,192.168.2.3,58.215.98.35,54
104.193.88.102,benign,104.193.88.102,192.168.2.3,74
104.193.88.102,benign,104.193.88.102,192.168.2.3,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,887
104.193.88.102,benign,104.193.88.102,192.168.2.3,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,798
104.193.88.102,benign,104.193.88.102,192.168.2.3,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,875
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,808
58.215.98.35,benign,58.215.98.35,192.168.2.3,54
58.215.98.35,benign,58.215.98.35,192.168.2.3,304
58.215.98.35,benign,192.168.2.3,58.215.98.35,54
58.215.98.35,benign,192.168.2.3,58.215.98.35,134
58.215.98.35,benign,192.168.2.3,58.215.98.35,140
58.215.98.35,benign,192.168.2.3,58.215.98.35,534
104.193.88.102,benign,104.193.88.102,192.168.2.3,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,887
104.193.88.102,benign,104.193.88.102,192.168.2.3,74
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,886
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,865
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1176
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,875
104.193.88.102,benign,192.168.2.3,104.193.88.102,988
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,144
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,988
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
