App,IP,Service,Connections,Traffic Size,,,App,IP,,,,,,,# of apps connected,# of unique IPS,,
../pcaps/Android9.0/com.circleball.hoppingball.apk.pcap,13.251.62.80,benign,13,870,,,../pcaps/Android9.0/com.circleball.hoppingball.apk.pcap,13.251.62.80,1,,,,13.32.252.101,1,,,,
../pcaps/Android9.0/com.roblox.client.apk.pcap,13.32.203.245,benign,3263,2088704,,,../pcaps/Android9.0/com.roblox.client.apk.pcap,13.32.203.245,1,,,,13.32.252.102,1,,,,
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.205.144,benign,48,31232,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.205.144,1,,,,13.32.252.112,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.205.215,benign,56,38371,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.205.215,1,,,,13.32.252.114,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.205.246,benign,54,38216,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.205.246,1,,,,13.32.252.117,1,,,,
../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.100,benign,8,590,,,../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.100,1,,,,13.32.252.119,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.101,benign,10,2439,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.101,1,,,,13.32.252.121,1,,,,
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.102,benign,77,41492,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.102,1,,,,13.32.252.138,1,,,,
../pcaps/Android9.0/com.snow.drift.apk.pcap,13.32.252.108,benign,28,6416,,,../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.108,7,,,,13.32.252.16,1,,,,
../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.108,benign,78,31186,,,../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.108,7,,,,13.32.252.160,1,,,,
